#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	1.23037e-10	1.14271e+09	101315	0.0001841
1.33037e-10	2.00003e-05	5.21033	1.23286e-10	1.14263e+09	101315	0.0001841
2.56323e-10	2.00013e-05	10.0195	1.23921e-10	1.1424e+09	101315	0.0001841
3.80243e-10	2.00028e-05	14.8339	1.24582e-10	1.14203e+09	101315	0.0001841
5.04826e-10	2.0005e-05	19.6533	1.25274e-10	1.14152e+09	101315	0.0001841
6.301e-10	2.00077e-05	24.4774	1.25997e-10	1.14086e+09	101315	0.0001841
7.56097e-10	2.00111e-05	29.3063	1.26751e-10	1.14005e+09	101315	0.0001841
8.82848e-10	2.00151e-05	34.1398	1.27539e-10	1.13908e+09	101315	0.0001841
1.01039e-09	2.00198e-05	38.9778	1.28363e-10	1.13797e+09	101315	0.0001841
1.13875e-09	2.00251e-05	43.8201	1.29222e-10	1.1367e+09	101315	0.0001841
1.26797e-09	2.00311e-05	48.6668	1.3012e-10	1.13528e+09	101315	0.0001841
1.39809e-09	2.00378e-05	53.5177	1.31058e-10	1.1337e+09	101315	0.0001841
1.52915e-09	2.00451e-05	58.3727	1.32037e-10	1.13196e+09	101315	0.0001841
1.66119e-09	2.00531e-05	63.2319	1.33061e-10	1.13005e+09	101315	0.0001841
1.79425e-09	2.00618e-05	68.0952	1.34131e-10	1.12799e+09	101315	0.0001841
1.92838e-09	2.00713e-05	72.9625	1.3525e-10	1.12576e+09	101315	0.0001841
2.06363e-09	2.00815e-05	77.8339	1.3642e-10	1.12336e+09	101315	0.0001841
2.20005e-09	2.00925e-05	82.7094	1.37645e-10	1.12079e+09	101315	0.0001841
2.33769e-09	2.01042e-05	87.589	1.38928e-10	1.11805e+09	101315	0.0001841
2.47662e-09	2.01167e-05	92.4728	1.40271e-10	1.11513e+09	101315	0.0001841
2.61689e-09	2.013e-05	97.361	1.41679e-10	1.11204e+09	101315	0.0001841
2.75857e-09	2.01441e-05	102.254	1.43157e-10	1.10876e+09	101315	0.0001841
2.90173e-09	2.01591e-05	107.151	1.44708e-10	1.1053e+09	101315	0.0001841
3.04644e-09	2.0175e-05	112.053	1.46338e-10	1.10166e+09	101315	0.0001841
3.19278e-09	2.01918e-05	116.96	1.48052e-10	1.09782e+09	101315	0.0001841
3.34083e-09	2.02094e-05	121.872	1.49858e-10	1.09379e+09	101315	0.0001841
3.49069e-09	2.02281e-05	126.79	1.51761e-10	1.08957e+09	101315	0.0001841
3.64245e-09	2.02477e-05	131.714	1.53769e-10	1.08514e+09	101315	0.0001841
3.79622e-09	2.02683e-05	136.645	1.55892e-10	1.08051e+09	101315	0.0001841
3.95211e-09	2.029e-05	141.582	1.5814e-10	1.07567e+09	101315	0.0001841
4.11025e-09	2.03128e-05	146.528	1.60523e-10	1.07061e+09	101315	0.0001841
4.27077e-09	2.03367e-05	151.482	1.63055e-10	1.06533e+09	101315	0.0001841
4.43382e-09	2.03618e-05	156.445	1.65751e-10	1.05983e+09	101315	0.0001841
4.59958e-09	2.03882e-05	161.419	1.68628e-10	1.05409e+09	101315	0.0001841
4.7682e-09	2.04158e-05	166.405	1.71705e-10	1.0481e+09	101315	0.0001841
4.93991e-09	2.04448e-05	171.404	1.75007e-10	1.04187e+09	101315	0.0001841
5.11492e-09	2.04752e-05	176.417	1.78561e-10	1.03538e+09	101315	0.0001841
5.29348e-09	2.05072e-05	181.447	1.824e-10	1.02863e+09	101315	0.0001841
5.47588e-09	2.05407e-05	186.496	1.86564e-10	1.02159e+09	101315	0.0001841
5.66244e-09	2.0576e-05	191.567	1.91101e-10	1.01425e+09	101315	0.0001841
5.85354e-09	2.06131e-05	196.663	1.96073e-10	1.00661e+09	101315	0.0001841
6.04961e-09	2.06522e-05	201.788	2.01555e-10	9.98635e+08	101315	0.0001841
6.25117e-09	2.06934e-05	206.947	2.07643e-10	9.90312e+08	101315	0.0001841
6.45881e-09	2.07369e-05	212.146	2.14465e-10	9.81614e+08	101315	0.0001841
6.67328e-09	2.07829e-05	217.392	2.22189e-10	9.72509e+08	101315	0.0001841
6.89546e-09	2.08318e-05	222.696	2.31049e-10	9.62958e+08	101315	0.0001841
7.12651e-09	2.08839e-05	228.07	2.41379e-10	9.52913e+08	101315	0.0001841
7.36789e-09	2.09396e-05	233.53	2.53679e-10	9.42309e+08	101315	0.0001841
7.62157e-09	2.09996e-05	239.101	2.68745e-10	9.31062e+08	101315	0.0001841
7.89032e-09	2.10646e-05	244.818	2.87942e-10	9.19049e+08	101315	0.0001841
8.17826e-09	2.1136e-05	250.732	3.13911e-10	9.06089e+08	101315	0.0001841
8.49217e-09	2.12156e-05	256.936	3.52732e-10	8.91881e+08	101315	0.0001841
8.8449e-09	2.13075e-05	263.607	4.23848e-10	8.7585e+08	101315	0.0001841
9.26875e-09	2.14208e-05	271.212	6.92538e-10	8.56548e+08	101315	0.0001841
9.73365e-09	2.15487e-05	279.052	5.2334e-10	8.35392e+08	101315	0.0001841
1.01274e-08	2.16599e-05	285.292	4.06533e-10	8.17539e+08	101315	0.0001841
