#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	1.23037e-11	1.14271e+09	101315	0.0001841
2.23037e-11	2e-05	0.874968	1.2309e-11	1.14271e+09	101315	0.0001841
3.46127e-11	2e-05	1.3576	1.23152e-11	1.14271e+09	101315	0.0001841
4.69279e-11	2e-05	1.8403	1.23213e-11	1.1427e+09	101315	0.0001841
5.92492e-11	2.00001e-05	2.32306	1.23275e-11	1.1427e+09	101315	0.0001841
7.15767e-11	2.00001e-05	2.80588	1.23337e-11	1.14269e+09	101315	0.0001841
8.39104e-11	2.00001e-05	3.28876	1.23399e-11	1.14268e+09	101315	0.0001841
9.62503e-11	2.00002e-05	3.77171	1.23462e-11	1.14267e+09	101315	0.0001841
1.08596e-10	2.00002e-05	4.25471	1.23525e-11	1.14266e+09	101315	0.0001841
1.20949e-10	2.00003e-05	4.73778	1.23588e-11	1.14264e+09	101315	0.0001841
1.33308e-10	2.00003e-05	5.22092	1.23651e-11	1.14263e+09	101315	0.0001841
1.45673e-10	2.00004e-05	5.70411	1.23715e-11	1.14261e+09	101315	0.0001841
1.58044e-10	2.00005e-05	6.18736	1.23779e-11	1.14259e+09	101315	0.0001841
1.70422e-10	2.00006e-05	6.67068	1.23843e-11	1.14258e+09	101315	0.0001841
1.82807e-10	2.00007e-05	7.15406	1.23908e-11	1.14255e+09	101315	0.0001841
1.95197e-10	2.00007e-05	7.6375	1.23973e-11	1.14253e+09	101315	0.0001841
2.07595e-10	2.00008e-05	8.121	1.24038e-11	1.14251e+09	101315	0.0001841
2.19998e-10	2.00009e-05	8.60456	1.24103e-11	1.14248e+09	101315	0.0001841
2.32409e-10	2.00011e-05	9.08818	1.24169e-11	1.14246e+09	101315	0.0001841
2.44826e-10	2.00012e-05	9.57187	1.24235e-11	1.14243e+09	101315	0.0001841
2.57249e-10	2.00013e-05	10.0556	1.24301e-11	1.1424e+09	101315	0.0001841
2.69679e-10	2.00014e-05	10.5394	1.24368e-11	1.14237e+09	101315	0.0001841
2.82116e-10	2.00016e-05	11.0233	1.24435e-11	1.14234e+09	101315	0.0001841
2.9456e-10	2.00017e-05	11.5072	1.24502e-11	1.1423e+09	101315	0.0001841
3.0701e-10	2.00018e-05	11.9912	1.2457e-11	1.14227e+09	101315	0.0001841
3.19467e-10	2.0002e-05	12.4752	1.24637e-11	1.14223e+09	101315	0.0001841
3.3193e-10	2.00022e-05	12.9593	1.24706e-11	1.1422e+09	101315	0.0001841
3.44401e-10	2.00023e-05	13.4435	1.24774e-11	1.14216e+09	101315	0.0001841
3.56878e-10	2.00025e-05	13.9277	1.24843e-11	1.14211e+09	101315	0.0001841
3.69363e-10	2.00027e-05	14.412	1.24912e-11	1.14207e+09	101315	0.0001841
3.81854e-10	2.00028e-05	14.8964	1.24981e-11	1.14203e+09	101315	0.0001841
3.94352e-10	2.0003e-05	15.3808	1.25051e-11	1.14198e+09	101315	0.0001841
4.06857e-10	2.00032e-05	15.8652	1.25121e-11	1.14194e+09	101315	0.0001841
4.19369e-10	2.00034e-05	16.3497	1.25191e-11	1.14189e+09	101315	0.0001841
4.31888e-10	2.00036e-05	16.8343	1.25261e-11	1.14184e+09	101315	0.0001841
4.44414e-10	2.00039e-05	17.319	1.25332e-11	1.14179e+09	101315	0.0001841
4.56948e-10	2.00041e-05	17.8037	1.25403e-11	1.14173e+09	101315	0.0001841
4.69488e-10	2.00043e-05	18.2884	1.25475e-11	1.14168e+09	101315	0.0001841
4.82035e-10	2.00045e-05	18.7732	1.25547e-11	1.14162e+09	101315	0.0001841
4.9459e-10	2.00048e-05	19.2581	1.25619e-11	1.14157e+09	101315	0.0001841
5.07152e-10	2.0005e-05	19.743	1.25691e-11	1.14151e+09	101315	0.0001841
5.19721e-10	2.00053e-05	20.228	1.25764e-11	1.14145e+09	101315	0.0001841
5.32297e-10	2.00055e-05	20.7131	1.25837e-11	1.14139e+09	101315	0.0001841
5.44881e-10	2.00058e-05	21.1982	1.25911e-11	1.14132e+09	101315	0.0001841
5.57472e-10	2.00061e-05	21.6834	1.25984e-11	1.14126e+09	101315	0.0001841
5.70071e-10	2.00063e-05	22.1686	1.26058e-11	1.14119e+09	101315	0.0001841
5.82677e-10	2.00066e-05	22.6539	1.26133e-11	1.14112e+09	101315	0.0001841
5.9529e-10	2.00069e-05	23.1392	1.26208e-11	1.14106e+09	101315	0.0001841
6.07911e-10	2.00072e-05	23.6246	1.26283e-11	1.14098e+09	101315	0.0001841
6.20539e-10	2.00075e-05	24.11	1.26358e-11	1.14091e+09	101315	0.0001841
6.33175e-10	2.00078e-05	24.5956	1.26434e-11	1.14084e+09	101315	0.0001841
6.45818e-10	2.00081e-05	25.0811	1.2651e-11	1.14076e+09	101315	0.0001841
6.58469e-10	2.00084e-05	25.5667	1.26586e-11	1.14069e+09	101315	0.0001841
6.71128e-10	2.00088e-05	26.0524	1.26663e-11	1.14061e+09	101315	0.0001841
6.83794e-10	2.00091e-05	26.5382	1.2674e-11	1.14053e+09	101315	0.0001841
6.96468e-10	2.00094e-05	27.024	1.26817e-11	1.14045e+09	101315	0.0001841
