#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	5.71086e-11	1.14271e+09	101315	0.0001841
6.71086e-11	2.00001e-05	2.6309	5.717e-11	1.14269e+09	101315	0.0001841
1.24279e-10	2.00003e-05	4.86797	5.73038e-11	1.14264e+09	101315	0.0001841
1.81582e-10	2.00006e-05	7.10629	5.74403e-11	1.14256e+09	101315	0.0001841
2.39023e-10	2.00011e-05	9.34585	5.75796e-11	1.14244e+09	101315	0.0001841
2.96602e-10	2.00017e-05	11.5866	5.77219e-11	1.1423e+09	101315	0.0001841
3.54324e-10	2.00025e-05	13.8286	5.78671e-11	1.14212e+09	101315	0.0001841
4.12191e-10	2.00033e-05	16.0718	5.80152e-11	1.14192e+09	101315	0.0001841
4.70207e-10	2.00043e-05	18.3162	5.81665e-11	1.14168e+09	101315	0.0001841
5.28373e-10	2.00054e-05	20.5617	5.83208e-11	1.14141e+09	101315	0.0001841
5.86694e-10	2.00067e-05	22.8085	5.84784e-11	1.1411e+09	101315	0.0001841
6.45172e-10	2.00081e-05	25.0563	5.86391e-11	1.14077e+09	101315	0.0001841
7.03811e-10	2.00096e-05	27.3053	5.88032e-11	1.1404e+09	101315	0.0001841
7.62615e-10	2.00113e-05	29.5555	5.89706e-11	1.14e+09	101315	0.0001841
8.21585e-10	2.00131e-05	31.8067	5.91415e-11	1.13957e+09	101315	0.0001841
8.80727e-10	2.00151e-05	34.0591	5.93158e-11	1.1391e+09	101315	0.0001841
9.40042e-10	2.00172e-05	36.3126	5.94937e-11	1.1386e+09	101315	0.0001841
9.99536e-10	2.00194e-05	38.5672	5.96753e-11	1.13807e+09	101315	0.0001841
1.05921e-09	2.00218e-05	40.8228	5.98605e-11	1.13751e+09	101315	0.0001841
1.11907e-09	2.00243e-05	43.0796	6.00496e-11	1.13691e+09	101315	0.0001841
1.17912e-09	2.00269e-05	45.3374	6.02425e-11	1.13627e+09	101315	0.0001841
1.23936e-09	2.00297e-05	47.5963	6.04394e-11	1.13561e+09	101315	0.0001841
1.2998e-09	2.00327e-05	49.8562	6.06404e-11	1.13491e+09	101315	0.0001841
