#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	5.71086e-10	1.14271e+09	101315	0.0001841
5.81086e-10	2.00066e-05	22.5925	5.76135e-10	1.14113e+09	101315	0.0001841
1.15722e-09	2.00259e-05	44.5144	5.91905e-10	1.13651e+09	101315	0.0001841
1.74913e-09	2.00588e-05	66.4494	6.1091e-10	1.12871e+09	101315	0.0001841
2.36004e-09	2.01061e-05	88.3765	6.34037e-10	1.11759e+09	101315	0.0001841
2.99407e-09	2.01692e-05	110.283	6.62362e-10	1.10299e+09	101315	0.0001841
3.65644e-09	2.02495e-05	132.164	6.97477e-10	1.08473e+09	101315	0.0001841
4.35391e-09	2.03494e-05	154.02	7.41854e-10	1.06254e+09	101315	0.0001841
5.09577e-09	2.04719e-05	175.87	7.99613e-10	1.0361e+09	101315	0.0001841
5.89538e-09	2.06214e-05	197.762	8.78342e-10	1.00492e+09	101315	0.0001841
6.77372e-09	2.08049e-05	219.803	9.94347e-10	9.68205e+08	101315	0.0001841
7.76807e-09	2.10348e-05	242.236	1.19357e-09	9.24525e+08	101315	0.0001841
8.96164e-09	2.13384e-05	265.738	1.72727e-09	8.70537e+08	101315	0.0001841
1.06889e-08	2.18224e-05	293.562	1.77684e-09	7.92267e+08	101315	0.0001841
1.20469e-08	2.22332e-05	310.806	1.39864e-09	7.32577e+08	101315	0.0001841
1.34456e-08	2.26781e-05	324.833	1.31177e-09	6.74079e+08	101315	0.0001841
1.47573e-08	2.31112e-05	334.994	1.30373e-09	6.22597e+08	101315	0.0001841
1.60611e-08	2.35532e-05	342.627	1.33e-09	5.74982e+08	101315	0.0001841
1.7391e-08	2.40128e-05	348.253	1.3814e-09	5.30151e+08	101315	0.0001841
1.87725e-08	2.44968e-05	352.155	1.45703e-09	4.8753e+08	101315	0.0001841
2.02295e-08	2.50118e-05	354.492	1.56074e-09	4.46736e+08	101315	0.0001841
2.17902e-08	2.5566e-05	355.348	1.70197e-09	4.07456e+08	101315	0.0001841
2.34922e-08	2.61705e-05	354.74	1.90053e-09	3.69365e+08	101315	0.0001841
2.53927e-08	2.68428e-05	352.598	2.2029e-09	3.32035e+08	101315	0.0001841
2.75956e-08	2.76155e-05	348.699	2.7573e-09	2.94726e+08	101315	0.0001841
3.03529e-08	2.85686e-05	342.366	4.86362e-09	2.55582e+08	101315	0.0001841
3.37612e-08	2.97202e-05	333.221	3.58626e-09	2.16493e+08	101315	0.0001841
3.66945e-08	3.06854e-05	324.777	2.95622e-09	1.893e+08	101315	0.0001841
3.96507e-08	3.16327e-05	316.095	2.80441e-09	1.66606e+08	101315	0.0001841
4.24551e-08	3.25076e-05	307.9	2.77158e-09	1.48567e+08	101315	0.0001841
4.52267e-08	3.335e-05	299.959	2.79231e-09	1.33433e+08	101315	0.0001841
4.8019e-08	3.41767e-05	292.192	2.8434e-09	1.20392e+08	101315	0.0001841
5.08624e-08	3.49966e-05	284.566	2.91589e-09	1.08982e+08	101315	0.0001841
5.37783e-08	3.58153e-05	277.07	3.00554e-09	9.88947e+07	101315	0.0001841
5.67839e-08	3.66369e-05	269.696	3.11028e-09	8.99091e+07	101315	0.0001841
5.98942e-08	3.74644e-05	262.441	3.22912e-09	8.18588e+07	101315	0.0001841
6.31233e-08	3.83002e-05	255.305	3.36174e-09	7.46137e+07	101315	0.0001841
6.6485e-08	3.91466e-05	248.286	3.50827e-09	6.8069e+07	101315	0.0001841
6.99933e-08	4.00054e-05	241.384	3.66915e-09	6.21391e+07	101315	0.0001841
7.36624e-08	4.08785e-05	234.6	3.84509e-09	5.67524e+07	101315	0.0001841
7.75075e-08	4.17676e-05	227.932	4.03704e-09	5.18485e+07	101315	0.0001841
8.15446e-08	4.26744e-05	221.382	4.24613e-09	4.73761e+07	101315	0.0001841
8.57907e-08	4.36006e-05	214.948	4.47373e-09	4.32906e+07	101315	0.0001841
9.02644e-08	4.45479e-05	208.63	4.72141e-09	3.95537e+07	101315	0.0001841
9.49858e-08	4.55182e-05	202.427	4.99095e-09	3.61316e+07	101315	0.0001841
9.99768e-08	4.65131e-05	196.339	5.2844e-09	3.29949e+07	101315	0.0001841
1.05261e-07	4.75346e-05	190.364	5.60405e-09	3.01176e+07	101315	0.0001841
1.10865e-07	4.85848e-05	184.502	5.95247e-09	2.74765e+07	101315	0.0001841
1.16818e-07	4.96657e-05	178.752	6.33254e-09	2.5051e+07	101315	0.0001841
