#   Rstart=2e-05m
#   RdotStart=0m/s
#   Rn=0.0001841m
#   deltaT=1e-11s
#   Tstart=0s
#   Tend=0.000115s
#   patm=101315Pa
#   pac=0Pa
#   f=26120Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+07Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=0Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn26.4e-05m#   t15e-05s#   t26e-05s# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	2e-05	0	1e-11	1.14271e+09	101315	0.0001841
1e-11	2e-05	0.392368	2.65075e-10	1.14271e+09	101315	0.0001841
2.75075e-10	2.00015e-05	10.7494	2.66166e-10	1.14236e+09	101315	0.0001841
5.41241e-10	2.00057e-05	21.0579	2.6925e-10	1.14134e+09	101315	0.0001841
8.10491e-10	2.00128e-05	31.3836	2.72621e-10	1.13965e+09	101315	0.0001841
1.08311e-09	2.00227e-05	41.7246	2.76319e-10	1.13727e+09	101315	0.0001841
1.35943e-09	2.00357e-05	52.0795	2.80374e-10	1.13418e+09	101315	0.0001841
1.63981e-09	2.00518e-05	62.4472	2.84824e-10	1.13037e+09	101315	0.0001841
1.92463e-09	2.0071e-05	72.8269	2.8971e-10	1.12582e+09	101315	0.0001841
2.21434e-09	2.00936e-05	83.2178	2.95084e-10	1.12051e+09	101315	0.0001841
2.50942e-09	2.01197e-05	93.6197	3.01004e-10	1.11442e+09	101315	0.0001841
2.81043e-09	2.01495e-05	104.033	3.07543e-10	1.10753e+09	101315	0.0001841
3.11797e-09	2.01831e-05	114.457	3.1479e-10	1.0998e+09	101315	0.0001841
3.43276e-09	2.02208e-05	124.895	3.22853e-10	1.09122e+09	101315	0.0001841
3.75561e-09	2.02628e-05	135.348	3.31868e-10	1.08175e+09	101315	0.0001841
4.08748e-09	2.03095e-05	145.82	3.42007e-10	1.07135e+09	101315	0.0001841
4.42949e-09	2.03611e-05	156.314	3.53494e-10	1.05997e+09	101315	0.0001841
4.78298e-09	2.04183e-05	166.838	3.66626e-10	1.04757e+09	101315	0.0001841
5.14961e-09	2.04814e-05	177.401	3.81807e-10	1.03408e+09	101315	0.0001841
5.53142e-09	2.05511e-05	188.015	3.99608e-10	1.01942e+09	101315	0.0001841
5.93102e-09	2.06284e-05	198.7	4.2087e-10	1.00347e+09	101315	0.0001841
6.35189e-09	2.07143e-05	209.483	4.469e-10	9.86108e+08	101315	0.0001841
6.79879e-09	2.08104e-05	220.404	4.79885e-10	9.67127e+08	101315	0.0001841
7.27868e-09	2.09189e-05	231.53	5.23882e-10	9.4624e+08	101315	0.0001841
7.80256e-09	2.10432e-05	242.971	5.87695e-10	9.22982e+08	101315	0.0001841
8.39026e-09	2.11896e-05	254.949	6.96444e-10	8.96501e+08	101315	0.0001841
9.0867e-09	2.13717e-05	267.999	9.8983e-10	8.6484e+08	101315	0.0001841
1.00765e-08	2.16454e-05	284.504	9.90946e-10	8.19841e+08	101315	0.0001841
1.07985e-08	2.18547e-05	295.111	7.48653e-10	7.87367e+08	101315	0.0001841
1.15471e-08	2.20793e-05	304.915	6.74414e-10	7.5426e+08	101315	0.0001841
1.22215e-08	2.22877e-05	312.769	6.40674e-10	7.25087e+08	101315	0.0001841
1.28622e-08	2.24902e-05	319.426	6.23874e-10	6.98052e+08	101315	0.0001841
1.34861e-08	2.26914e-05	325.203	6.1591e-10	6.72433e+08	101315	0.0001841
1.4102e-08	2.28932e-05	330.269	6.13623e-10	6.47876e+08	101315	0.0001841
1.47156e-08	2.30973e-05	334.727	6.1549e-10	6.24174e+08	101315	0.0001841
1.53311e-08	2.33046e-05	338.649	6.20704e-10	6.01189e+08	101315	0.0001841
1.59518e-08	2.35159e-05	342.087	6.28832e-10	5.78826e+08	101315	0.0001841
1.65806e-08	2.37319e-05	345.079	6.39667e-10	5.57011e+08	101315	0.0001841
1.72203e-08	2.39535e-05	347.655	6.53159e-10	5.35688e+08	101315	0.0001841
1.78735e-08	2.41813e-05	349.837	6.69382e-10	5.14809e+08	101315	0.0001841
1.85429e-08	2.44161e-05	351.642	6.88528e-10	4.94334e+08	101315	0.0001841
1.92314e-08	2.46588e-05	353.084	7.10916e-10	4.74224e+08	101315	0.0001841
1.99423e-08	2.49102e-05	354.171	7.37021e-10	4.54443e+08	101315	0.0001841
2.06793e-08	2.51715e-05	354.909	7.67522e-10	4.34954e+08	101315	0.0001841
2.14468e-08	2.54441e-05	355.299	8.03398e-10	4.15717e+08	101315	0.0001841
2.22502e-08	2.57296e-05	355.337	8.46081e-10	3.96685e+08	101315	0.0001841
2.30963e-08	2.60301e-05	355.015	8.97754e-10	3.77802e+08	101315	0.0001841
2.39941e-08	2.63485e-05	354.317	9.6193e-10	3.58993e+08	101315	0.0001841
2.4956e-08	2.66889e-05	353.214	1.04474e-09	3.40155e+08	101315	0.0001841
2.60007e-08	2.70571e-05	351.662	1.15826e-09	3.21131e+08	101315	0.0001841
2.7159e-08	2.74632e-05	349.578	1.33126e-09	3.01651e+08	101315	0.0001841
2.84903e-08	2.79268e-05	346.797	1.66303e-09	2.81173e+08	101315	0.0001841
3.01533e-08	2.85003e-05	342.872	3.63133e-09	2.58162e+08	101315	0.0001841
3.18416e-08	2.90756e-05	338.509	1.88103e-09	2.37379e+08	101315	0.0001841
3.33732e-08	2.95909e-05	334.317	1.54758e-09	2.20496e+08	101315	0.0001841
3.49208e-08	3.01049e-05	329.929	1.41989e-09	2.05111e+08	101315	0.0001841
3.63407e-08	3.05704e-05	325.817	1.3549e-09	1.92308e+08	101315	0.0001841
3.76956e-08	3.10092e-05	321.85	1.32054e-09	1.81135e+08	101315	0.0001841
3.90161e-08	3.14316e-05	317.968	1.30186e-09	1.71128e+08	101315	0.0001841
4.0318e-08	3.18431e-05	314.142	1.2928e-09	1.62031e+08	101315	0.0001841
4.16108e-08	3.22468e-05	310.361	1.29033e-09	1.53681e+08	101315	0.0001841
4.29011e-08	3.26448e-05	306.615	1.29273e-09	1.45963e+08	101315	0.0001841
4.41938e-08	3.30388e-05	302.9	1.29891e-09	1.38791e+08	101315	0.0001841
4.54928e-08	3.34298e-05	299.213	1.30819e-09	1.32099e+08	101315	0.0001841
4.6801e-08	3.38189e-05	295.553	1.32008e-09	1.25833e+08	101315	0.0001841
4.8121e-08	3.42066e-05	291.918	1.33424e-09	1.1995e+08	101315	0.0001841
4.94553e-08	3.45937e-05	288.307	1.35042e-09	1.14413e+08	101315	0.0001841
5.08057e-08	3.49806e-05	284.72	1.36845e-09	1.09192e+08	101315	0.0001841
5.21741e-08	3.53678e-05	281.157	1.3882e-09	1.04258e+08	101315	0.0001841
5.35623e-08	3.57556e-05	277.618	1.40958e-09	9.95904e+07	101315	0.0001841
5.49719e-08	3.61444e-05	274.103	1.43251e-09	9.51675e+07	101315	0.0001841
5.64044e-08	3.65346e-05	270.611	1.45696e-09	9.09715e+07	101315	0.0001841
5.78614e-08	3.69263e-05	267.143	1.48289e-09	8.69865e+07	101315	0.0001841
5.93443e-08	3.73199e-05	263.7	1.5103e-09	8.3198e+07	101315	0.0001841
6.08546e-08	3.77156e-05	260.281	1.53916e-09	7.95932e+07	101315	0.0001841
6.23937e-08	3.81136e-05	256.886	1.5695e-09	7.61603e+07	101315	0.0001841
6.39632e-08	3.85141e-05	253.516	1.60132e-09	7.28887e+07	101315	0.0001841
6.55646e-08	3.89174e-05	250.17	1.63464e-09	6.97687e+07	101315	0.0001841
6.71992e-08	3.93236e-05	246.85	1.6695e-09	6.67914e+07	101315	0.0001841
6.88687e-08	3.97329e-05	243.554	1.70593e-09	6.39486e+07	101315	0.0001841
7.05746e-08	4.01456e-05	240.283	1.74396e-09	6.12327e+07	101315	0.0001841
7.23186e-08	4.05618e-05	237.038	1.78365e-09	5.86368e+07	101315	0.0001841
7.41022e-08	4.09817e-05	233.817	1.82504e-09	5.61545e+07	101315	0.0001841
7.59273e-08	4.14055e-05	230.623	1.8682e-09	5.37798e+07	101315	0.0001841
7.77955e-08	4.18334e-05	227.453	1.91318e-09	5.1507e+07	101315	0.0001841
7.97087e-08	4.22655e-05	224.309	1.96004e-09	4.93311e+07	101315	0.0001841
8.16687e-08	4.27021e-05	221.19	2.00887e-09	4.72472e+07	101315	0.0001841
8.36776e-08	4.31433e-05	218.096	2.05974e-09	4.52508e+07	101315	0.0001841
8.57373e-08	4.35894e-05	215.028	2.11273e-09	4.33376e+07	101315	0.0001841
8.785e-08	4.40404e-05	211.986	2.16792e-09	4.15037e+07	101315	0.0001841
9.0018e-08	4.44967e-05	208.969	2.22542e-09	3.97453e+07	101315	0.0001841
9.22434e-08	4.49584e-05	205.977	2.28533e-09	3.8059e+07	101315	0.0001841
9.45287e-08	4.54257e-05	203.01	2.34774e-09	3.64414e+07	101315	0.0001841
9.68765e-08	4.58989e-05	200.069	2.41278e-09	3.48895e+07	101315	0.0001841
9.92892e-08	4.6378e-05	197.153	2.48055e-09	3.34003e+07	101315	0.0001841
1.0177e-07	4.68635e-05	194.262	2.5512e-09	3.19711e+07	101315	0.0001841
1.04321e-07	4.73554e-05	191.396	2.62484e-09	3.05993e+07	101315	0.0001841
1.06946e-07	4.7854e-05	188.555	2.70163e-09	2.92823e+07	101315	0.0001841
1.09647e-07	4.83596e-05	185.739	2.7817e-09	2.80179e+07	101315	0.0001841
1.12429e-07	4.88724e-05	182.948	2.86523e-09	2.68038e+07	101315	0.0001841
1.15294e-07	4.93926e-05	180.182	2.95238e-09	2.5638e+07	101315	0.0001841
1.18247e-07	4.99205e-05	177.44	3.04331e-09	2.45184e+07	101315	0.0001841
1.2129e-07	5.04563e-05	174.723	3.13823e-09	2.34432e+07	101315	0.0001841
1.24428e-07	5.10004e-05	172.03	3.23731e-09	2.24107e+07	101315	0.0001841
1.27666e-07	5.15529e-05	169.362	3.34079e-09	2.14189e+07	101315	0.0001841
1.31006e-07	5.21143e-05	166.717	3.44886e-09	2.04665e+07	101315	0.0001841
1.34455e-07	5.26847e-05	164.097	3.56177e-09	1.95518e+07	101315	0.0001841
1.38017e-07	5.32646e-05	161.501	3.67975e-09	1.86733e+07	101315	0.0001841
1.41697e-07	5.38541e-05	158.929	3.80307e-09	1.78297e+07	101315	0.0001841
1.455e-07	5.44536e-05	156.38	3.93199e-09	1.70197e+07	101315	0.0001841
1.49432e-07	5.50635e-05	153.855	4.06681e-09	1.62418e+07	101315	0.0001841
1.53499e-07	5.56841e-05	151.354	4.20782e-09	1.5495e+07	101315	0.0001841
1.57706e-07	5.63157e-05	148.876	4.35535e-09	1.47781e+07	101315	0.0001841
1.62062e-07	5.69587e-05	146.422	4.50974e-09	1.409e+07	101315	0.0001841
1.66572e-07	5.76135e-05	143.991	4.67133e-09	1.34295e+07	101315	0.0001841
1.71243e-07	5.82805e-05	141.583	4.84052e-09	1.27957e+07	101315	0.0001841
1.76083e-07	5.896e-05	139.198	5.01769e-09	1.21877e+07	101315	0.0001841
1.81101e-07	5.96525e-05	136.836	5.20326e-09	1.16044e+07	101315	0.0001841
1.86304e-07	6.03583e-05	134.496	5.39769e-09	1.1045e+07	101315	0.0001841
1.91702e-07	6.1078e-05	132.18	5.60144e-09	1.05086e+07	101315	0.0001841
1.97303e-07	6.18119e-05	129.886	5.815e-09	9.99445e+06	101315	0.0001841
2.03118e-07	6.25606e-05	127.615	6.0389e-09	9.50167e+06	101315	0.0001841
2.09157e-07	6.33244e-05	125.367	6.2737e-09	9.02952e+06	101315	0.0001841
2.15431e-07	6.41039e-05	123.141	6.51998e-09	8.57728e+06	101315	0.0001841
2.21951e-07	6.48995e-05	120.937	6.77836e-09	8.14422e+06	101315	0.0001841
2.28729e-07	6.57118e-05	118.756	7.04951e-09	7.72967e+06	101315	0.0001841
2.35779e-07	6.65413e-05	116.597	7.33411e-09	7.33297e+06	101315	0.0001841
2.43113e-07	6.73885e-05	114.46	7.6329e-09	6.95347e+06	101315	0.0001841
2.50746e-07	6.82541e-05	112.346	7.94668e-09	6.59058e+06	101315	0.0001841
2.58693e-07	6.91384e-05	110.253	8.27626e-09	6.24368e+06	101315	0.0001841
2.66969e-07	7.00423e-05	108.183	8.62253e-09	5.9122e+06	101315	0.0001841
2.75591e-07	7.09662e-05	106.134	8.98642e-09	5.5956e+06	101315	0.0001841
2.84578e-07	7.19108e-05	104.108	9.36893e-09	5.29332e+06	101315	0.0001841
2.93947e-07	7.28767e-05	102.103	9.77111e-09	5.00485e+06	101315	0.0001841
3.03718e-07	7.38646e-05	100.121	1.01941e-08	4.72967e+06	101315	0.0001841
3.13912e-07	7.48751e-05	98.1598	1.0639e-08	4.4673e+06	101315	0.0001841
3.24551e-07	7.5909e-05	96.2209	1.11072e-08	4.21726e+06	101315	0.0001841
3.35658e-07	7.6967e-05	94.3037	1.16e-08	3.97908e+06	101315	0.0001841
3.47258e-07	7.80499e-05	92.4083	1.21189e-08	3.75232e+06	101315	0.0001841
3.59377e-07	7.91583e-05	90.5346	1.26653e-08	3.53653e+06	101315	0.0001841
3.72042e-07	8.02931e-05	88.6825	1.3241e-08	3.3313e+06	101315	0.0001841
3.85283e-07	8.14551e-05	86.8522	1.38477e-08	3.13621e+06	101315	0.0001841
3.99131e-07	8.26452e-05	85.0434	1.44872e-08	2.95086e+06	101315	0.0001841
4.13618e-07	8.38642e-05	83.2563	1.51615e-08	2.77486e+06	101315	0.0001841
4.2878e-07	8.51129e-05	81.4907	1.58728e-08	2.60784e+06	101315	0.0001841
4.44653e-07	8.63925e-05	79.7466	1.66234e-08	2.44943e+06	101315	0.0001841
4.61276e-07	8.77037e-05	78.024	1.74157e-08	2.29926e+06	101315	0.0001841
4.78692e-07	8.90475e-05	76.3229	1.82524e-08	2.157e+06	101315	0.0001841
4.96944e-07	9.04251e-05	74.6431	1.91363e-08	2.02231e+06	101315	0.0001841
5.1608e-07	9.18375e-05	72.9848	2.00703e-08	1.89487e+06	101315	0.0001841
5.36151e-07	9.32857e-05	71.3477	2.10578e-08	1.77435e+06	101315	0.0001841
5.57209e-07	9.4771e-05	69.732	2.21021e-08	1.66045e+06	101315	0.0001841
5.79311e-07	9.62944e-05	68.1374	2.32072e-08	1.55288e+06	101315	0.0001841
6.02518e-07	9.78572e-05	66.5641	2.43769e-08	1.45135e+06	101315	0.0001841
6.26895e-07	9.94608e-05	65.0119	2.56157e-08	1.35558e+06	101315	0.0001841
6.52511e-07	0.000101106	63.4807	2.69281e-08	1.2653e+06	101315	0.0001841
6.79439e-07	0.000102795	61.9706	2.83193e-08	1.18026e+06	101315	0.0001841
7.07758e-07	0.000104529	60.4814	2.97946e-08	1.1002e+06	101315	0.0001841
7.37553e-07	0.000106309	59.013	3.136e-08	1.02488e+06	101315	0.0001841
7.68913e-07	0.000108136	57.5655	3.30216e-08	954071	101315	0.0001841
8.01934e-07	0.000110013	56.1387	3.47865e-08	887544	101315	0.0001841
8.36721e-07	0.000111942	54.7326	3.66618e-08	825084	101315	0.0001841
8.73383e-07	0.000113923	53.3471	3.86557e-08	766482	101315	0.0001841
9.12038e-07	0.000115958	51.982	4.07768e-08	711540	101315	0.0001841
9.52815e-07	0.00011805	50.6373	4.30345e-08	660064	101315	0.0001841
9.9585e-07	0.0001202	49.313	4.54389e-08	611871	101315	0.0001841
1.04129e-06	0.000122411	48.0088	4.80012e-08	566782	101315	0.0001841
1.08929e-06	0.000124684	46.7248	5.07332e-08	524629	101315	0.0001841
1.14002e-06	0.000127022	45.4607	5.36481e-08	485250	101315	0.0001841
1.19367e-06	0.000129428	44.2165	5.676e-08	448488	101315	0.0001841
1.25043e-06	0.000131902	42.9921	6.00844e-08	414196	101315	0.0001841
1.31052e-06	0.000134449	41.7874	6.36382e-08	382231	101315	0.0001841
1.37415e-06	0.00013707	40.6022	6.74398e-08	352459	101315	0.0001841
1.44159e-06	0.000139768	39.4363	7.15092e-08	324750	101315	0.0001841
1.5131e-06	0.000142547	38.2897	7.58685e-08	298981	101315	0.0001841
1.58897e-06	0.000145408	37.1623	8.05416e-08	275035	101315	0.0001841
1.66951e-06	0.000148356	36.0537	8.5555e-08	252801	101315	0.0001841
1.75507e-06	0.000151394	34.964	9.09376e-08	232173	101315	0.0001841
1.84601e-06	0.000154524	33.893	9.67212e-08	213050	101315	0.0001841
1.94273e-06	0.00015775	32.8404	1.02941e-07	195338	101315	0.0001841
2.04567e-06	0.000161077	31.8061	1.09634e-07	178946	101315	0.0001841
2.1553e-06	0.000164508	30.7899	1.16845e-07	163788	101315	0.0001841
2.27215e-06	0.000168046	29.7917	1.24619e-07	149783	101315	0.0001841
2.39677e-06	0.000171697	28.8112	1.33009e-07	136855	101315	0.0001841
2.52977e-06	0.000175464	27.8482	1.42071e-07	124932	101315	0.0001841
2.67184e-06	0.000179352	26.9026	1.5187e-07	113944	101315	0.0001841
2.82371e-06	0.000183367	25.974	1.62476e-07	103829	101315	0.0001841
2.98619e-06	0.000187512	25.0622	1.73968e-07	94524.6	101315	0.0001841
3.16016e-06	0.000191793	24.1671	1.86434e-07	85974.4	101315	0.0001841
3.34659e-06	0.000196215	23.2882	1.99972e-07	78124.5	101315	0.0001841
3.54656e-06	0.000200784	22.4254	2.14693e-07	70924.5	101315	0.0001841
